czas,bzdura,x,y,z
45.78773,ankieta PRZED_średni_średnia ilość informacji,0.00, 2.95, 0.00
49.34169,True,0.00, 2.95, 0.00
49.34169,location,0.00, 2.95, 0.00
50.34275,location,0.00, 2.17, 0.00
51.34385,location,0.28, 2.18, 0.71
52,diamond,0.06, 2.17, 3.98
52.34497,location,0.02, 2.17, 5.38
52.9,diamond,0.00, 2.17, 6.88
53.34609,location,-0.01, 2.17, 9.08
53.54,diamond,0.02, 2.17, 10.08
54.11361,jump,0.13, 2.17, 12.88
54.24,diamond,0.15, 3.41, 13.58
54.34721,location,0.17, 4.12, 14.08
55.34837,location,-0.10, 2.96, 12.80
56.34949,location,-0.12, 2.17, 13.69
57.18,diamond,0.02, 1.72, 16.95
57.35057,jump,-0.02, 1.62, 17.75
57.35057,location,-0.02, 1.62, 17.75
57.64,diamond,-0.08, 3.91, 19.25
58.06,diamond,-0.17, 4.85, 21.35
58.3517,location,-0.24, 4.01, 22.75
59.06,diamond,-0.38, -2.41, 25.35
59.35282,location,-0.40, -2.68, 25.35
60.35396,location,-1.15, -2.68, 23.55
60.74,diamond,-3.03, -2.68, 23.83
61.35505,location,-6.02, -2.68, 24.14
61.56,diamond,-7.11, -2.68, 24.24
62.35617,location,-8.16, -2.68, 22.18
62.54,diamond,-8.10, -2.68, 21.18
63.28,diamond,-7.98, -2.68, 17.49
63.3573,location,-8.01, -2.68, 17.19
64.12,diamond,-7.94, -2.68, 13.77
64.35841,location,-7.83, -2.68, 12.80
65.35953,location,-3.61, -2.68, 11.94
66.36064,location,-5.63, -2.68, 12.62
66.71105,jump,-5.76, -2.68, 14.31
67.36176,location,-3.97, 0.58, 15.94
68.3629,location,-1.77, -2.68, 13.84
68.46,diamond,-1.31, -2.68, 13.65
68.46,diamond,-1.31, -2.68, 13.65
68.64,diamond,-0.66, -2.68, 13.04
68.8,diamond,-0.34, -2.68, 12.31
68.8,diamond,-0.34, -2.68, 12.31
68.84676,jump,-0.30, -2.68, 12.11
68.92,diamond,-0.25, -1.94, 11.72
69.36,diamond,0.38, -1.73, 12.02
69.36401,location,0.38, -1.73, 12.02
69.38,diamond,0.46, -1.74, 12.07
69.72,diamond,1.10, -2.27, 11.00
70.36514,location,-0.39, -2.68, 10.64
71.08,diamond,-0.13, -2.68, 12.41
71.26,diamond,-0.12, -2.68, 13.31
71.36626,location,-0.11, -2.68, 13.81
71.4,diamond,-0.11, -2.68, 14.01
71.42,diamond,-0.11, -2.68, 14.11
71.48,diamond,-0.11, -2.68, 14.41
71.48,diamond,-0.11, -2.68, 14.41
71.64,diamond,-0.10, -2.68, 15.21
71.78,diamond,-0.07, -2.68, 15.91
71.8,diamond,-0.06, -2.68, 16.01
71.84,diamond,-0.05, -2.68, 16.21
71.86,diamond,-0.04, -2.68, 16.31
72.36738,location,0.16, -2.68, 17.69
73.3685,location,0.76, -2.68, 14.23
74.36961,location,1.88, -2.75, 10.98
75.37074,location,-1.20, -2.68, 10.60
76.37186,location,-2.41, -2.68, 14.49
76.50533,jump,-2.91, -2.68, 14.96
77.37296,location,-3.98, 0.19, 18.51
78.37408,location,-0.99, -2.68, 22.33
79.25999,diamond,2.92, -2.68, 23.80
79.37524,location,3.42, -2.68, 23.85
80,diamond,6.62, -2.68, 23.92
80.37634,location,7.54, -2.68, 22.72
80.68,diamond,7.44, -2.68, 21.13
81.37745,location,7.79, -2.68, 17.93
81.46,diamond,7.98, -2.68, 17.51
82.22,diamond,7.75, -2.68, 13.72
82.37856,location,7.59, -2.68, 13.05
83.37966,location,6.08, -2.68, 17.22
84.38078,location,4.20, -2.68, 21.67
85.38192,location,-0.64, -2.68, 22.06
86.13277,jump,-2.79, -2.68, 19.70
86.38305,location,-2.57, -0.61, 18.48
87.38415,location,-2.37, -1.19, 13.92
87.68448,jump,-2.35, -1.20, 13.89
88.38531,location,-2.71, 0.14, 11.37
88.98598,jump,-2.70, -0.17, 10.64
89.38642,location,-2.34, 2.58, 9.21
90.38751,location,-1.02, 2.34, 4.84
91.38862,location,2.37, 1.74, 2.48
92.38974,location,2.41, 1.74, 0.52
92.52325,jump,2.41, 1.74, 0.47
93.39088,location,1.24, 4.60, -0.91
94.39198,location,0.90, 2.31, -3.70
95.39313,location,1.28, 2.36, -5.36
96.39421,location,0.55, 2.18, -1.82
97.39536,location,0.39, 2.18, 3.17
98.39648,location,0.14, 2.17, 8.16
99.39764,location,0.09, 2.17, 13.16
100.382,jump,0.04, 1.41, 18.16
100.3987,location,0.04, 1.41, 18.16
101.3998,location,0.09, 3.65, 23.16
101.48,diamond,0.10, 3.05, 23.66
102.4009,location,-0.48, -2.68, 25.36
103.4021,location,-3.07, -2.68, 23.12
104.4032,location,-3.97, -2.68, 19.13
104.4699,jump,-3.89, -2.68, 18.84
105.4043,location,-3.66, -0.02, 14.16
105.8548,jump,-2.83, -0.23, 12.12
106.4054,location,-2.43, 2.99, 9.35
107.4066,location,1.03, 2.27, 7.85
108.4077,location,0.94, 2.37, 9.25
109.4088,location,0.76, 2.23, 14.25
110.3098,jump,0.82, 1.61, 18.75
110.4099,location,0.82, 2.52, 19.25
111.411,location,0.59, 3.41, 24.24
111.7113,jump,0.37, 1.23, 25.72
111.76,diamond,0.31, 1.80, 26.02
112.4121,location,-0.29, 4.48, 29.11
113.4132,location,1.34, 1.32, 29.76
113.54,diamond,1.02, 1.32, 29.15
114.4144,location,0.14, 1.32, 29.57
114.94,diamond,0.63, 1.32, 31.54
115.4155,location,0.09, 1.32, 33.62
115.64,diamond,0.07, 1.32, 34.82
116.36,diamond,0.40, 1.32, 38.40
116.4166,location,0.43, 1.32, 38.60
117.04,diamond,0.63, 1.32, 41.78
117.4177,location,0.42, 1.32, 43.15
118.4188,location,-1.42, 1.32, 38.81
119.42,location,-3.26, 1.32, 34.17
119.48,diamond,-3.40, 1.32, 33.80
119.52,diamond,-3.47, 1.32, 33.61
119.58,diamond,-3.57, 1.32, 33.32
119.7,diamond,-3.75, 1.32, 32.75
119.76,diamond,-3.85, 1.32, 32.47
120.4211,location,-2.85, 1.32, 31.77
121.4222,location,-3.85, 1.32, 32.40
122.4234,location,-3.61, 1.32, 36.77
123.3243,jump,-6.61, 3.55, 34.26
123.4244,location,-6.82, 4.46, 33.81
123.78,diamond,-7.13, 6.47, 33.29
123.98,diamond,-7.47, 6.75, 32.92
124.02,diamond,-7.59, 6.73, 32.77
124.16,diamond,-8.03, 6.49, 32.22
124.18,diamond,-8.09, 6.43, 32.14
124.34,diamond,-8.46, 5.74, 31.67
124.34,diamond,-8.46, 5.74, 31.67
124.4256,location,-8.46, 5.25, 31.67
124.54,diamond,-8.14, 4.68, 31.43
124.56,diamond,-8.06, 4.64, 31.38
124.86,diamond,-7.77, 4.49, 31.33
124.88,diamond,-7.67, 4.44, 31.34
125.12,diamond,-7.24, 4.24, 31.01
125.14,diamond,-7.21, 4.23, 30.91
125.22,diamond,-7.22, 4.25, 30.51
125.4267,location,-7.31, 4.31, 30.23
125.8438,jump,-7.31, 4.31, 30.23
125.88,diamond,-7.31, 4.69, 30.23
125.9,diamond,-7.31, 4.87, 30.23
125.94,diamond,-7.31, 5.21, 30.23
126,diamond,-7.31, 5.68, 30.23
126.4278,location,-8.05, 6.99, 30.53
127.4289,location,-7.86, 4.52, 31.86
127.479,jump,-7.77, 4.47, 32.03
128.43,location,-3.93, 6.34, 33.19
129.4312,location,0.32, 1.32, 34.35
130.3989,jump,4.77, 1.30, 33.23
130.4323,location,4.96, 1.69, 33.16
130.88,diamond,6.99, 4.43, 32.31
131.32,diamond,7.19, 4.07, 32.28
131.42,diamond,7.68, 3.59, 32.28
131.4334,location,7.68, 3.59, 32.28
131.6,normal button enter,8.58, 2.34, 32.36
132.4345,location,8.83, 1.32, 32.49
133.4356,location,7.76, 1.32, 32.31
134.4367,location,6.28, 1.32, 35.47
135.4379,location,1.89, 1.32, 37.73
136.439,location,-2.97, 1.32, 38.87
136.706,jump,-4.35, 1.32, 39.11
137.4401,location,-6.26, 4.47, 39.68
137.64,diamond,-7.22, 3.91, 39.96
137.64,diamond,-7.22, 3.91, 39.96
137.72,diamond,-7.61, 3.52, 40.05
137.88,normal button enter,-8.38, 2.46, 40.27
138.4412,location,-8.66, 1.32, 40.35
139.4423,location,-8.18, 1.32, 40.47
140.4435,location,-3.44, 1.32, 40.86
141.4446,location,-0.72, 1.32, 44.60
142.4457,location,-0.04, 1.32, 49.54
142.5625,jump,-0.04, 1.32, 50.14
142.74,diamond,-0.09, 2.83, 51.04
143.4468,location,-1.15, 4.09, 54.24
143.66,diamond,-2.01, 2.97, 54.93
144.26,diamond,-2.94, 1.32, 55.59
144.448,location,-3.81, 1.32, 55.80
145.02,diamond,-5.59, 1.32, 56.09
145.4491,location,-7.67, 1.32, 56.36
145.62,diamond,-8.57, 1.32, 56.37
146.34,diamond,-12.17, 1.32, 56.26
146.4502,location,-12.67, 1.32, 56.25
147.4513,location,-15.11, 1.32, 55.26
147.66,diamond,-15.34, 1.32, 54.18
147.68,diamond,-15.36, 1.32, 54.08
147.82,diamond,-15.51, 1.32, 53.40
147.84,diamond,-15.53, 1.32, 53.30
147.88,diamond,-15.57, 1.32, 53.11
147.98,diamond,-15.68, 1.32, 52.62
148,diamond,-15.70, 1.32, 52.52
148.04,diamond,-15.74, 1.32, 52.32
148.06,diamond,-15.76, 1.32, 52.23
148.44,diamond,-15.92, 1.32, 50.33
148.4524,location,-15.92, 1.32, 50.33
148.46,diamond,-15.93, 1.32, 50.23
148.62,diamond,-15.97, 1.32, 49.44
148.68,diamond,-15.99, 1.32, 49.14
148.72,diamond,-16.00, 1.32, 48.94
148.84,diamond,-16.04, 1.32, 48.34
148.86,diamond,-16.04, 1.32, 48.24
149.34,diamond,-15.99, 1.32, 45.84
149.36,diamond,-15.99, 1.32, 45.74
149.36,diamond,-15.99, 1.32, 45.74
149.38,diamond,-15.98, 1.32, 45.64
149.42,diamond,-15.97, 1.32, 45.44
149.4535,location,-15.97, 1.32, 45.34
149.64,diamond,-15.93, 1.32, 44.34
149.64,diamond,-15.93, 1.32, 44.34
149.66,diamond,-15.92, 1.32, 44.24
149.66,diamond,-15.92, 1.32, 44.24
150.4547,location,-16.75, 1.32, 43.26
150.76,diamond,-18.27, 1.29, 43.75
150.8,diamond,-18.46, 1.29, 43.78
150.96,diamond,-19.26, 1.29, 43.86
150.98,diamond,-19.36, 1.29, 43.87
151,diamond,-19.46, 1.29, 43.88
151.16,diamond,-20.26, 1.29, 43.95
151.18,diamond,-20.36, 1.29, 43.95
151.4558,location,-21.65, 1.29, 43.91
151.54,diamond,-22.15, 1.32, 43.91
151.56,diamond,-22.25, 1.32, 43.91
151.66,diamond,-22.75, 1.32, 43.97
151.68,diamond,-22.85, 1.32, 43.99
151.7,diamond,-22.95, 1.32, 44.00
151.84,diamond,-23.63, 1.32, 44.16
151.86,diamond,-23.72, 1.32, 44.19
151.88,diamond,-23.82, 1.32, 44.23
151.9,diamond,-23.91, 1.32, 44.27
152.4,diamond,-24.76, 1.32, 46.50
152.42,diamond,-24.74, 1.32, 46.60
152.4569,location,-24.71, 1.32, 46.69
152.58,diamond,-24.51, 1.32, 47.36
152.6,diamond,-24.48, 1.32, 47.46
152.6,diamond,-24.48, 1.32, 47.46
152.78,diamond,-24.23, 1.32, 48.32
152.8,diamond,-24.20, 1.32, 48.42
152.82,diamond,-24.17, 1.32, 48.52
153.18,diamond,-24.03, 1.32, 50.30
153.2,diamond,-24.03, 1.32, 50.40
153.24,diamond,-24.04, 1.32, 50.60
153.26,diamond,-24.04, 1.32, 50.70
153.32,diamond,-24.05, 1.32, 51.00
153.458,location,-23.99, 1.32, 51.60
153.48,diamond,-23.95, 1.32, 51.79
153.5,diamond,-23.93, 1.32, 51.89
153.52,diamond,-23.91, 1.32, 51.99
153.54,diamond,-23.89, 1.32, 52.09
154.14,diamond,-21.87, 1.30, 52.78
154.16,diamond,-21.78, 1.29, 52.73
154.3,diamond,-21.19, 1.29, 52.35
154.34,diamond,-21.03, 1.29, 52.24
154.4,diamond,-20.77, 1.29, 52.08
154.44,diamond,-20.61, 1.29, 51.97
154.4592,location,-20.61, 1.29, 51.97
154.46,diamond,-20.52, 1.29, 51.92
154.52,diamond,-20.27, 1.29, 51.75
154.56,diamond,-20.08, 1.29, 51.80
155.06,diamond,-19.87, 1.29, 50.05
155.1,diamond,-19.93, 1.29, 49.86
155.12,diamond,-19.96, 1.29, 49.76
155.16,diamond,-20.02, 1.29, 49.57
155.18,diamond,-20.05, 1.29, 49.47
155.38,diamond,-20.33, 1.29, 48.52
155.4,diamond,-20.36, 1.29, 48.42
155.4603,location,-20.45, 1.29, 48.13
155.48,diamond,-20.47, 1.29, 48.04
155.82,diamond,-20.47, 1.29, 46.34
155.84,diamond,-20.46, 1.29, 46.24
156.4614,location,-19.58, 1.29, 44.31
157.3,diamond,-17.73, 1.32, 47.33
157.32,diamond,-17.69, 1.32, 47.42
157.4625,location,-17.43, 1.32, 48.07
158.2467,jump,-17.69, 1.32, 48.69
158.44,diamond,-18.57, 2.99, 48.21
158.4636,location,-18.66, 3.12, 48.16
159.4647,location,-22.29, 2.16, 49.21
159.48,diamond,-22.33, 1.99, 49.12
160.4658,location,-23.29, 1.32, 48.22
161.467,location,-20.97, 1.29, 50.49
162.4681,location,-19.36, 1.31, 54.73
163.4693,location,-15.16, 1.32, 56.46
164.4704,location,-10.17, 1.32, 56.36
165.4715,location,-5.17, 1.32, 56.25
166.4726,location,-0.41, 1.32, 55.49
167.4737,location,4.06, 1.32, 56.42
168.4748,location,8.82, 1.32, 55.34
169.476,location,13.49, 1.32, 53.99
170.4771,location,15.52, 1.32, 49.77
171.32,red key,15.88, 1.32, 45.50
171.4782,location,15.76, 1.32, 44.81
172.4793,location,15.73, 1.32, 47.24
173.4804,location,14.12, 1.32, 52.03
174.4815,location,9.99, 1.32, 54.82
175.4827,location,5.49, 1.32, 55.94
176.4838,location,0.73, 1.32, 56.01
176.5172,jump,0.63, 1.32, 56.03
177.4849,location,-4.25, 3.90, 56.01
177.9854,jump,-6.75, 1.32, 56.06
178.486,location,-9.25, 4.34, 56.14
179.3537,jump,-13.54, 1.32, 55.79
179.4871,location,-14.23, 2.56, 55.72
180.4883,location,-19.22, 2.90, 55.60
181.44,lock unlockedredKey,-23.82, 1.32, 56.24
181.4894,location,-24.02, 1.32, 56.25
182.4905,location,-24.04, 1.32, 56.27
183.4916,location,-24.24, 1.32, 56.19
184.4928,location,-29.23, 1.32, 55.93
185.4938,location,-29.53, 1.32, 55.91
186.4949,location,-29.09, 1.32, 56.62
187.4961,location,-31.46, 1.32, 60.38
188.4972,location,-33.19, 1.32, 61.07
189.4983,location,-32.50, 1.32, 58.55
190.4995,location,-32.41, 1.32, 58.57
190.94,hold button enter,-30.74, 1.32, 57.45
191.5006,location,-30.84, 1.32, 56.25
191.56,diamond,-30.87, 1.32, 56.05
192.5017,location,-32.56, 1.32, 56.20
192.9355,jump,-32.96, 1.32, 56.21
192.98,diamond,-33.26, 1.89, 56.21
193.02,hold button leave,-33.46, 2.24, 56.22
193.16,diamond,-34.16, 3.27, 56.23
193.5028,location,-35.86, 4.56, 56.24
193.52,diamond,-35.96, 4.58, 56.25
193.82,diamond,-37.46, 4.19, 56.23
194.5039,location,-38.47, 1.29, 55.49
195.505,location,-35.23, 1.29, 55.29
196.5061,location,-39.66, 1.29, 53.04
197.5072,location,-43.78, 1.29, 51.22
198.5084,location,-43.78, 1.29, 51.22
199.5095,location,-43.78, 1.29, 51.22
200.5106,location,-39.12, 1.29, 50.71
201.5117,location,-34.71, 1.29, 52.70
202.2,hold button enter,-31.94, 1.32, 54.61
202.5128,location,-32.04, 1.32, 56.00
203.514,location,-33.46, 1.32, 56.13
203.58,hold button leave,-33.86, 1.32, 56.11
203.5807,jump,-33.86, 1.32, 56.11
204.5151,location,-38.44, 3.93, 56.24
205.5162,location,-36.88, 1.29, 57.33
206.5173,location,-36.13, 1.29, 53.32
207.5185,location,-40.57, 1.29, 51.36
208.5196,location,-45.09, 1.32, 49.22
209.5207,location,-47.29, 1.31, 48.52
209.5707,jump,-47.29, 1.31, 48.52
210.5218,location,-49.06, 3.22, 47.84
211.5229,location,-49.40, 1.31, 48.90
212.524,location,-47.73, 1.31, 50.15
213.5252,location,-46.61, 1.32, 52.84
214.5263,location,-46.61, 1.32, 52.84
215.5274,location,-46.84, 1.32, 52.66
216.5285,location,-49.36, 1.32, 52.45
217.5296,location,-49.41, 1.32, 51.27
218.5308,location,-45.74, 1.29, 53.58
219.5319,location,-44.60, 1.29, 53.94
220.533,location,-46.07, 1.32, 55.37
221.5342,location,-46.99, 1.32, 60.08
222.5352,location,-47.95, 1.31, 63.54
223.5364,location,-46.08, 1.31, 63.42
224.5375,location,-41.29, 1.32, 62.80
225.5386,location,-36.78, 1.29, 61.49
226.5397,location,-33.04, 1.32, 58.46
226.68,hold button enter,-32.63, 1.32, 57.78
227.5408,location,-32.87, 1.32, 56.76
228.5419,location,-32.45, 1.32, 55.70
229.5431,location,-32.49, 1.32, 56.30
230.5442,location,-32.19, 1.32, 56.29
230.88,hold button leave,-33.89, 1.32, 56.16
231.0781,jump,-34.79, 1.29, 56.15
231.5453,location,-37.18, 4.36, 56.28
231.98,gun,-39.38, 4.15, 56.26
232.22,diamond,-40.58, 4.90, 56.21
232.5464,location,-40.78, 5.85, 56.21
232.6,diamond,-40.78, 5.95, 56.21
233.2305,jump,-40.78, 5.95, 56.21
233.5476,location,-40.74, 7.01, 55.31
234.5487,location,-40.73, 5.86, 55.21
235.2828,shoot,-40.73, 5.86, 55.21
235.5498,location,-40.73, 5.86, 55.21
236.5509,location,-40.73, 5.86, 55.21
236.8846,shoot,-40.73, 5.86, 55.21
237.552,location,-40.73, 5.86, 55.21
238.5531,location,-40.73, 5.86, 55.21
239.5543,location,-40.25, 5.95, 55.58
240.5554,location,-39.83, 5.95, 56.44
241.3062,shoot,-39.83, 5.95, 56.44
241.5565,location,-39.83, 5.95, 56.44
242.5576,location,-39.83, 5.95, 56.44
242.6077,shoot,-39.83, 5.95, 56.44
243.5588,location,-39.83, 5.95, 56.44
244.5598,location,-39.83, 5.95, 56.44
